row_no,persona_id,attempt_no,status,started_at,finished_at,duration_ms,error_code,provider_request_id,model,prompt_version,usage_json
20,ILB_0f035a4c09d4068b,1,succeeded,2026-09-21 05:04:18.962935+00,2026-09-21 05:04:19.040241+00,6642,,resp_056e10b25d873a8d016ab0bae3c90087d28c1ece257fcd569a,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5293, ""output_tokens"": 43}"
21,ILB_b4d2bd4612abf2a5,1,succeeded,2026-09-21 05:04:32.200262+00,2026-09-21 05:04:32.213225+00,10004,,resp_ft_c3999bcc015ec5db6ad4718842799485,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4452, ""output_tokens"": 159}"
22,ILB_4cf24ddebd70ce25,1,succeeded,2026-09-21 05:04:32.324205+00,2026-09-21 05:04:32.338342+00,6740,,resp_ft_1bf750f7ebe8a3ebf8c80bc9cb116bda,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4459, ""output_tokens"": 163}"
23,ILB_73e77de9a39b3bb3,1,succeeded,2026-09-21 05:04:32.530041+00,2026-09-21 05:04:32.537082+00,19084,,resp_ft_31e9d3ee22c0553375ef9e81aa8774b8,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4454, ""output_tokens"": 135}"
24,ILB_7a3da56571ad6225,1,succeeded,2026-09-21 05:04:38.712724+00,2026-09-21 05:04:38.718604+00,20245,,resp_ft_367ea233920b48b5fed4d57ad6cda742,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4454, ""output_tokens"": 136}"
25,ILB_fdba06adbd0f4fab,1,succeeded,2026-09-21 05:04:39.65338+00,2026-09-21 05:04:39.660852+00,14811,,resp_ft_54c8a46ce014925748378b15631d9dd5,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4449, ""output_tokens"": 189}"
26,ILB_91c76382d1d9a787,1,failed,2026-09-21 05:04:41.822914+00,2026-09-21 05:04:41.829225+00,,SERVER_ERROR,,gpt-5.6-terra,purchase-intent-zh-v1,
26,ILB_91c76382d1d9a787,2,succeeded,2026-09-21 05:04:50.155842+00,2026-09-21 05:04:50.16242+00,80267,,resp_ft_a698a09a3717becd6f53409f206d1699,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4441, ""output_tokens"": 149}"
27,ILB_ad36a8f6361c77e8,1,succeeded,2026-09-21 05:04:41.900441+00,2026-09-21 05:04:41.908336+00,19874,,resp_ft_0e86af51462ff9670568e894f9a59183,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4456, ""output_tokens"": 204}"
28,ILB_1e17a62d71e3700a,1,succeeded,2026-09-21 05:04:42.335254+00,2026-09-21 05:04:42.339467+00,7629,,resp_0cf328209b519fd6016ab0baf1546c87d2a92934d0f7ae5524,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5304, ""output_tokens"": 139}"
29,ILB_8a78997194eabe65,1,failed,2026-09-21 05:04:45.551176+00,2026-09-21 05:04:45.563111+00,,TIMEOUT,,gpt-5.6-terra,purchase-intent-zh-v1,
30,ILB_5d8ac6a257f0dec0,1,succeeded,2026-09-21 05:04:45.553309+00,2026-09-21 05:04:45.566633+00,10862,,resp_075c42c795bc5f56016ab0baf5274887d28c21efff00a68e05,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5300, ""output_tokens"": 122}"
31,ILB_199050f665c59211,1,succeeded,2026-09-21 05:04:47.57818+00,2026-09-21 05:04:47.588233+00,23771,,resp_ft_c5af3e89e57b8d63bfe5a84d8b5c6859,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4545, ""output_tokens"": 179}"
32,ILB_5a7d63f3cfaf7a6a,1,succeeded,2026-09-21 05:04:47.89708+00,2026-09-21 05:04:47.904609+00,22050,,resp_0a2f113cb4bb78bf016ab0baf6782087d1b97f2b1ce549f623,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5396, ""output_tokens"": 206}"
33,ILB_1bb59c0ca55ef6e7,1,succeeded,2026-09-21 05:04:49.739508+00,2026-09-21 05:04:49.748356+00,10276,,resp_0a938e5566627d3a016ab0baf64e0487d2a9164285ca6734e7,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5380, ""output_tokens"": 112}"
34,ILB_f3cf175262ff9258,1,succeeded,2026-09-21 05:04:50.112754+00,2026-09-21 05:04:50.123685+00,11971,,resp_ft_be40860c51d7de55dd995d0101a80a98,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4548, ""output_tokens"": 188}"
35,ILB_ea497d49e212c920,1,succeeded,2026-09-21 05:04:50.113952+00,2026-09-21 05:04:50.125998+00,18414,,resp_071bc7f35361d090016ab0bafec12487d28c9c9259f580433b,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5377, ""output_tokens"": 127}"
36,ILB_48c4d631913900bb,1,succeeded,2026-09-21 05:04:51.952244+00,2026-09-21 05:04:51.959842+00,6037,,resp_02e8d06f9d200fbc016ab0baf9419c87d286ff8bf2cf3fd11f,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5381, ""output_tokens"": 238}"
37,ILB_ba85046de1354d75,1,succeeded,2026-09-21 05:04:53.458229+00,2026-09-21 05:04:53.465249+00,57770,,resp_0e935c1090f785f9016ab0baff4dec87d29ccea85593b90aa2,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5288, ""output_tokens"": 192}"
38,ILB_468bba3c5587ca81,1,succeeded,2026-09-21 05:04:55.174746+00,2026-09-21 05:04:55.183244+00,20385,,resp_0910b8ef8ef69e4f016ab0bafb3b6487d295ac6f5c618dd301,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5302, ""output_tokens"": 146}"
39,ILB_c16a955c9d4bbaae,1,succeeded,2026-09-21 05:04:55.774333+00,2026-09-21 05:04:55.78256+00,7932,,resp_ft_a8b941fb7c30f819a37ca885bb5f16b3,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4472, ""output_tokens"": 190}"
40,ILB_d717250365c64e40,1,failed,2026-09-21 05:04:55.917675+00,2026-09-21 05:04:55.921751+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
40,ILB_d717250365c64e40,2,failed,2026-09-21 05:05:16.679332+00,2026-09-21 05:05:16.685014+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
40,ILB_d717250365c64e40,3,failed,2026-09-21 05:05:26.068937+00,2026-09-21 05:05:26.080505+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
41,ILB_7b5ca020f24fdc1c,1,succeeded,2026-09-21 05:04:58.006227+00,2026-09-21 05:04:58.013448+00,36485,,resp_0bae17b4cee806d7016ab0bb03589c87d2bfce19d26c689228,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5303, ""output_tokens"": 129}"
42,ILB_f909f8021db2a612,1,succeeded,2026-09-21 05:05:00.414257+00,2026-09-21 05:05:00.423082+00,8891,,resp_ft_af6523b279e90404703df31cb156ef72,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4447, ""output_tokens"": 178}"
43,ILB_434713078788e9ce,1,failed,2026-09-21 05:05:02.02088+00,2026-09-21 05:05:02.027829+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
43,ILB_434713078788e9ce,2,failed,2026-09-21 05:05:11.676695+00,2026-09-21 05:05:11.685194+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
43,ILB_434713078788e9ce,3,failed,2026-09-21 05:05:20.279588+00,2026-09-21 05:05:20.357398+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
44,ILB_f2b50e87dee84b30,1,succeeded,2026-09-21 05:05:02.216145+00,2026-09-21 05:05:02.226311+00,31375,,resp_042079f484c353a6016ab0bb012f3887d298bfd98900805c1e,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5293, ""output_tokens"": 186}"
45,ILB_e287b90c02d7aab8,1,succeeded,2026-09-21 05:05:02.430341+00,2026-09-21 05:05:02.436295+00,6762,,resp_ft_ef41333f3a72fafaa93ad067fa816138,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4456, ""output_tokens"": 208}"
46,ILB_daaf1d28c4aaf476,1,failed,2026-09-21 05:05:03.959017+00,2026-09-21 05:05:03.963368+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
46,ILB_daaf1d28c4aaf476,2,failed,2026-09-21 05:05:09.670726+00,2026-09-21 05:05:09.682542+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
46,ILB_daaf1d28c4aaf476,3,failed,2026-09-21 05:05:17.88296+00,2026-09-21 05:05:17.887278+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
47,ILB_708fd1ede3d47f87,1,succeeded,2026-09-21 05:05:04.090999+00,2026-09-21 05:05:04.095713+00,3753,,resp_0faa48941567b008016ab0bb0295e487d0a551c109d51efed2,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5299, ""output_tokens"": 40}"
48,ILB_ebf96a7939057b82,1,succeeded,2026-09-21 05:05:05.120536+00,2026-09-21 05:05:05.128528+00,10038,,resp_08f35da6e9983d74016ab0bb04512487d2b6afc5b9b2e3fee5,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5282, ""output_tokens"": 144}"
49,ILB_2d59c48b92137f76,1,failed,2026-09-21 05:05:06.010664+00,2026-09-21 05:05:06.018516+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
49,ILB_2d59c48b92137f76,2,failed,2026-09-21 05:05:12.676871+00,2026-09-21 05:05:12.683441+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
49,ILB_2d59c48b92137f76,3,failed,2026-09-21 05:05:22.003687+00,2026-09-21 05:05:22.014305+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
50,ILB_9511a1e833c59023,1,failed,2026-09-21 05:05:08.978054+00,2026-09-21 05:05:08.985321+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
50,ILB_9511a1e833c59023,2,failed,2026-09-21 05:05:15.678189+00,2026-09-21 05:05:15.692435+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
50,ILB_9511a1e833c59023,3,failed,2026-09-21 05:05:24.605016+00,2026-09-21 05:05:24.685686+00,,RATE_LIMITED,,gpt-5.6-terra,purchase-intent-zh-v1,
